Wavelenght (nm);Concentration (mol.L-1);SpectreABs_1;SpectreABs_2;SpectreABs_3;SpectreABs_4;SpectreABs_5;SpectreABs_6;SpectreABs_7;SpectreABs_8;SpectreABs_9;SpectreABs_10;SpectreABs_11
320;0;-0,00293363;0,179292;0,341403;0,485189;0,61396;0,718124;0,799658;0,863501;0,920831;0,958169;0,968839
321;4,72527E-05;-0,00100069;0,195022;0,37893;0,554684;0,725531;0,885258;1,01655;1,15515;1,30845;1,44037;1,5367
322;9,3398E-05;-0,000246232;0,196498;0,383409;0,562208;0,740691;0,907751;1,0502;1,20452;1,36954;1,5101;1,62793
323;0,000138474;0,000202502;0,196469;0,383283;0,56191;0,742114;0,90853;1,05735;1,21299;1,3806;1,52002;1,65554
324;0,000182518;-7,42314E-05;0,195603;0,38221;0,56085;0,740896;0,906507;1,05729;1,21216;1,37968;1,5231;1,66721
325;0,000225565;-0,000355705;0,195539;0,38248;0,562074;0,743391;0,91055;1,06374;1,22101;1,39062;1,53835;1,69094
326;0,000267648;-0,000555313;0,195001;0,381552;0,561191;0,741828;0,908068;1,06112;1,21747;1,38451;1,53273;1,68837
327;0,000308799;-0,000824399;0,195003;0,382017;0,56225;0,742724;0,908958;1,06188;1,21848;1,38491;1,53349;1,68962
328;0,000349049;-0,00104126;0,195588;0,383513;0,564883;0,74593;0,912959;1,0659;1,22328;1,39187;1,53998;1,69442
329;0,000388428;-0,00112924;0,197067;0,386527;0,569703;0,751919;0,920231;1,07368;1,23359;1,40409;1,55199;1,7049
330;0,000426962;-0,000915098;0,19905;0,390874;0,576394;0,760589;0,929645;1,08574;1,24722;1,42227;1,57128;1,72361
331;;-0,00100056;0,201356;0,396094;0,583901;0,770966;0,941653;1,1;1,26322;1,44297;1,59512;1,74817
332;;-0,00107393;0,204324;0,402053;0,592734;0,783365;0,955177;1,1163;1,28056;1,4636;1,61903;1,77682
333;;-0,00116331;0,207509;0,408693;0,602395;0,797065;0,970551;1,13545;1,30034;1,48669;1,64453;1,80532
334;;-0,00144844;0,211013;0,415886;0,612517;0,811351;0,987224;1,15584;1,32033;1,51179;1,67183;1,82994
335;;-0,00170927;0,214865;0,423393;0,623084;0,826125;1,00507;1,17619;1,3414;1,5361;1,69539;1,85064
336;;-0,0018367;0,219029;0,431141;0,634367;0,840894;1,02275;1,19692;1,36396;1,56229;1,72136;1,8659
337;;-0,00162803;0,223083;0,439134;0,645724;0,855095;1,0408;1,21806;1,38812;1,59165;1,74975;1,87866
338;;-0,00158637;0,227098;0,44689;0,656801;0,86915;1,05882;1,23706;1,4116;1,61719;1,77994;1,89138
339;;-0,00109299;0,231095;0,454438;0,667547;0,883299;1,07645;1,25577;1,43449;1,64109;1,80979;1,90925
340;;-0,000782875;0,234569;0,461374;0,677365;0,896126;1,0926;1,27373;1,45667;1,66494;1,84093;1,9304
341;;-0,000458143;0,237787;0,468018;0,686468;0,908286;1,10798;1,28984;1,47655;1,68666;1,86272;1,94894
342;;-0,000289286;0,240574;0,473746;0,694536;0,919233;1,12117;1,304;1,49377;1,70424;1,88083;1,97006
343;;-5,45639E-05;0,242889;0,478826;0,701777;0,928846;1,13172;1,31724;1,50887;1,71926;1,89015;1,99474
344;;6,34902E-05;0,244504;0,482839;0,707541;0,936335;1,14009;1,32762;1,52216;1,73185;1,8901;2,01323
345;;0,000149717;0,245949;0,486016;0,712046;0,942;1,14692;1,33501;1,53206;1,73881;1,88511;2,0238
346;;0,000353871;0,246753;0,487929;0,71467;0,945792;1,1511;1,34172;1,53904;1,74293;1,8817;2,04522
347;;0,000268466;0,246927;0,4888;0,715347;0,947825;1,15334;1,34619;1,54184;1,74286;1,87317;2,0618
348;;0,000243823;0,246855;0,488535;0,714375;0,947081;1,15359;1,34747;1,54112;1,7411;1,86541;2,06575
